,Player,Pos_x,Age_x,Tm_x,G_x,MP_x,FG%_x,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves,Rk,Pos_y,Age_y,Tm_y,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0-3_attempts,3-10_attempts,10-16_attempts,16-3P_attempts,midrange_attempts,corner_3_attempts,0-3_made,3-10_made,10-16_made,16-3P_made,midrange_made,corner_3_made,EFG%_3P,PPS_0-3,PPS_3-10,PPS_10-16,PPS_16-3P,PPS_midrange,PPS_3P
308,Th,PG,19,OKC,65,1778,0.368,16.8,0.49,0.171,0.164,0.107,0.047,0.51,0.402,0.419,0.376,0.424,0.379,0.335,0.331,0.781,0.003,1,0.128,0.375,3,0,309,PG,19,OKC,65,49,1778,226,614,0.368,105,313,0.335,121,301,0.402,0.454,101,135,0.748,25,186,211,227,56,11,141,126,658,104.99400000000000,100.696,65.698,28.858,94.556,40.064,43.99248600000000,37.861696,27.855952000000000,10.937182,38.793134000000000,15.024000000000000,0.5025000000000000,0.838,0.752,0.848,0.758,0.8205324675324670,1.0050000000000000
310,Terance Mann,SG,24,LAC,67,1263,0.509,10.4,0.74,0.371,0.209,0.109,0.051,0.26,0.541,0.708,0.397,0.342,0.333,0.418,0.507,0.842,0.111,32,0.571,0.442,1,0,311,SG,24,LAC,67,10,1263,178,350,0.509,38,91,0.418,140,259,0.541,0.563,78,94,0.83,56,186,242,104,29,13,40,126,472,129.85,73.15000000000000,38.15,17.850000000000000,56.0,51.961,91.93380000000000,29.04055,13.0473,5.94405,18.99135,22.966762,0.627,1.416,0.794,0.684,0.666,0.6782625,1.254
313,Lauri Markkanen,PF,23,CHI,51,1317,0.48,16.2,0.432,0.24,0.146,0.033,0.013,0.568,0.582,0.672,0.553,0.235,0.143,0.402,0.725,0.992,0.071,33,0.213,0.54,1,0,314,PF,23,CHI,51,26,1317,250,521,0.48,119,296,0.402,131,225,0.582,0.594,76,92,0.826,35,233,268,45,26,15,52,75,695,125.04000000000000,76.06600000000000,17.193,6.773,23.966,63.048,84.02688,42.064498,4.040355,0.9685390000000000,5.008894,34.04592,0.603,1.344,1.106,0.47,0.286,0.418,1.206
314,Naji Marshall,SF,23,NOP,32,700,0.392,13.1,0.603,0.321,0.163,0.086,0.033,0.397,0.421,0.552,0.294,0.333,0.0,0.349,0.547,0.966,0.038,6,0.482,0.325,2,0,315,SF,23,NOP,32,10,700,82,209,0.392,29,83,0.349,53,126,0.421,0.462,53,75,0.707,15,133,148,88,26,10,38,58,246,67.089,34.067,17.974,6.897,24.871000000000000,40.006,37.033128000000000,10.015698000000000,5.985342,0.0,5.985342,13.00195,0.5235,1.104,0.588,0.666,0.0,0.4813109243697480,1.047
315,Caleb Martin,SF,25,CHO,53,818,0.375,16.0,0.512,0.285,0.094,0.012,0.121,0.488,0.496,0.575,0.375,0.333,0.419,0.248,0.6,0.871,0.039,7,0.248,0.258,1,0,316,SF,25,CHO,53,3,818,96,256,0.375,31,125,0.248,65,131,0.496,0.436,41,64,0.641,31,110,141,67,37,12,33,62,264,72.96,24.064,3.072,30.976,34.048,31.0,41.95200000000000,9.024000000000000,1.022976,12.978944000000000,14.001920000000000,7.998,0.372,1.15,0.75,0.666,0.838,0.8224812030075190,0.744
316,Cody Martin,SF,25,CHO,52,849,0.441,11.2,0.691,0.436,0.117,0.074,0.064,0.309,0.515,0.561,0.636,0.214,0.333,0.276,0.597,0.875,0.085,15,0.586,0.265,1,0,317,SF,25,CHO,52,10,849,83,188,0.441,16,58,0.276,67,130,0.515,0.484,25,43,0.581,52,109,161,86,37,12,40,52,207,81.968,21.996000000000000,13.912000000000000,12.032,25.944,33.988,45.98404800000000,13.989456000000000,2.977168,4.006656,6.983824,9.006820000000000,0.41400000000000000,1.122,1.272,0.428,0.666,0.5383768115942030,0.8280000000000000
318,Kelan Martin,SF,25,IND,35,322,0.449,14.8,0.565,0.283,0.138,0.065,0.08,0.435,0.487,0.564,0.368,0.111,0.727,0.4,0.526,0.917,0.029,3,0.233,0.5,0,0,319,SF,25,IND,35,0,322,62,138,0.449,24,60,0.4,38,78,0.487,0.536,9,10,0.9,18,60,78,17,10,10,16,35,157,39.054000000000000,19.044,8.97,11.040000000000000,20.01,13.98,22.026456000000000,7.008192,0.99567,8.02608,9.02175,6.99,0.6000000000000000,1.128,0.736,0.222,1.454,0.9017241379310350,1.2000000000000000
324,Tyrese Maxey,SG,20,PHI,61,935,0.462,12.3,0.76,0.268,0.233,0.128,0.131,0.24,0.512,0.591,0.46,0.582,0.375,0.301,0.383,0.806,0.019,8,0.126,0.154,0,0,325,SG,20,PHI,61,8,935,198,429,0.462,31,103,0.301,167,326,0.512,0.498,61,70,0.871,11,93,104,120,26,13,41,79,488,114.97200000000000,99.95700000000000,54.912,56.199000000000000,111.111,12.978,67.948452,45.98022,31.958784000000000,21.074625,53.033409,1.9986120000000000,0.4515,1.182,0.92,1.164,0.75,0.9546023166023170,0.903
327,CJ McCollum,SG,29,POR,47,1600,0.458,17.5,0.525,0.106,0.152,0.14,0.127,0.475,0.509,0.596,0.455,0.5,0.509,0.402,0.301,0.615,0.003,2,0.143,0.45,0,0,328,SG,29,POR,47,47,1600,405,884,0.458,169,420,0.402,236,464,0.509,0.554,108,133,0.812,30,155,185,223,44,21,65,87,1087,93.704,134.368,123.76,112.268,236.02800000000000,60.060000000000000,55.84758400000000,61.13744,61.88,57.144412,119.02441200000000,27.027000000000000,0.603,1.192,0.91,1.0,1.018,1.008561797752810,1.206
328,T.J. McConnell,PG,28,IND,69,1796,0.559,8.4,0.902,0.331,0.341,0.188,0.043,0.098,0.586,0.654,0.545,0.554,0.524,0.313,0.363,0.8,0.0,0,0.396,0.421,1,0,329,PG,28,IND,69,3,1796,274,490,0.559,15,48,0.313,259,442,0.586,0.574,33,48,0.688,55,201,256,456,128,23,135,113,596,162.19,167.09,92.12,21.070000000000000,113.19,19.008000000000000,106.07226,91.06405000000000,51.03448000000000,11.040680000000000,62.07516000000000,8.002368,0.46950000000000000,1.308,1.09,1.108,1.048,1.0968311688311700,0.9390000000000000
329,Jaden McDaniels,PF,20,MIN,63,1511,0.447,16.0,0.46,0.229,0.139,0.049,0.044,0.54,0.544,0.69,0.412,0.5,0.25,0.364,0.707,0.972,0.114,32,0.338,0.403,1,0,330,PF,20,MIN,63,27,1511,164,367,0.447,72,198,0.364,92,169,0.544,0.545,27,45,0.6,52,180,232,71,35,60,47,172,427,84.043,51.013000000000000,17.983,16.148,34.131,66.924,57.98967,21.017356,8.9915,4.037,13.028500000000000,26.970372000000000,0.546,1.38,0.824,1.0,0.5,0.7634408602150540,1.092
331,Doug McDermott,PF,29,IND,66,1619,0.532,12.8,0.57,0.397,0.141,0.018,0.014,0.43,0.641,0.716,0.5,0.417,0.222,0.388,0.774,1.0,0.041,26,0.231,0.424,0,0,332,PF,29,IND,66,29,1619,354,665,0.532,111,286,0.388,243,379,0.641,0.616,80,98,0.816,60,161,221,85,20,6,53,117,899,264.005,93.76500000000000,11.970000000000000,9.31,21.28,66.066,189.02758,46.88250000000000,4.991490000000000,2.0668200000000000,7.058310000000000,28.011984,0.5820000000000000,1.432,1.0,0.834,0.444,0.6633750000000000,1.1640000000000000
333,JaVale McGee,C,33,TOT,46,678,0.511,6.6,0.915,0.433,0.379,0.085,0.018,0.085,0.539,0.689,0.43,0.292,0.4,0.208,0.59,1.0,0.167,44,0.167,0.25,0,0,334,C,33,TOT,46,2,678,144,282,0.511,5,24,0.208,139,258,0.539,0.52,44,67,0.657,77,162,239,39,19,54,60,121,337,122.106,106.878,23.970000000000000,5.076,29.046000000000000,4.008,84.13103400000000,45.95754,6.99924,2.0304000000000000,9.02964,1.002,0.312,1.378,0.86,0.584,0.8,0.6217475728155340,0.624
337,Ben McLemore,SG,27,TOT,53,905,0.37,21.6,0.233,0.099,0.041,0.022,0.071,0.767,0.447,0.639,0.333,0.25,0.308,0.346,0.816,0.959,0.014,4,0.236,0.5,2,0,338,SG,27,TOT,53,5,905,135,365,0.37,97,280,0.346,38,85,0.447,0.503,39,53,0.736,15,85,100,39,23,9,42,88,406,36.135000000000000,14.965,8.03,25.915,33.945,66.08,23.090265000000000,4.983345,2.0075,7.98182,9.98932,33.04,0.5190000000000000,1.278,0.666,0.5,0.616,0.5885591397849460,1.0380000000000000
338,Nicolò Melli,PF,30,TOT,45,566,0.326,18.3,0.397,0.149,0.099,0.078,0.071,0.603,0.411,0.476,0.214,0.545,0.4,0.271,0.478,1.0,0.043,5,0.224,0.263,0,0,339,PF,30,TOT,45,4,566,46,141,0.326,23,85,0.271,23,56,0.411,0.408,19,25,0.76,29,93,122,44,14,3,12,58,134,21.009,13.959000000000000,10.998,10.011,21.009,19.04,10.000284000000000,2.987226,5.9939100000000000,4.0044000000000000,9.99831,5.00752,0.40650000000000000,0.952,0.428,1.09,0.8,0.9518120805369130,0.8130000000000000
339,De'Anthony Melton,PG,22,MEM,52,1045,0.438,16.9,0.463,0.163,0.155,0.104,0.041,0.537,0.467,0.609,0.295,0.561,0.313,0.412,0.412,0.793,0.033,12,0.213,0.467,0,0,340,PG,22,MEM,52,1,1045,172,393,0.438,87,211,0.412,85,182,0.467,0.548,41,51,0.804,30,131,161,132,60,31,66,85,472,64.059,60.915,40.872,16.113,56.985,44.943,39.011931,17.969925,22.929192,5.043369,27.972561,20.988381,0.618,1.218,0.59,1.122,0.626,0.981751724137931,1.236
341,Chimezie Metu,C,23,SAC,36,488,0.508,11.0,0.793,0.318,0.212,0.151,0.112,0.207,0.549,0.789,0.368,0.333,0.5,0.351,0.731,0.923,0.19,29,0.081,0.667,0,0,342,C,23,SAC,36,6,488,91,179,0.508,13,37,0.351,78,142,0.549,0.545,31,43,0.721,31,81,112,28,14,18,29,59,226,56.922000000000000,37.948,27.029,20.048000000000000,47.077,2.997,44.911458,13.964864,9.000657,10.024000000000000,19.024657,1.998999,0.5265,1.578,0.736,0.666,1.0,0.808235741444867,1.053
342,Khris Middleton,SF,29,MIL,68,2269,0.476,15.7,0.66,0.15,0.146,0.196,0.168,0.34,0.508,0.652,0.49,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0.439,0,0,343,SF,29,MIL,68,68,2269,511,1074,0.476,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385,161.1,156.804,210.50400000000000,180.43200000000000,390.93600000000000,56.94,105.0372,76.83396,97.67385600000000,80.11180800000000,177.78566400000000,24.99666,0.621,1.304,0.98,0.928,0.888,0.9095384615384620,1.242
344,Patty Mills,PG,32,SAS,68,1685,0.412,20.7,0.298,0.111,0.057,0.028,0.101,0.702,0.5,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0.0,0,0.147,0.46,0,0,345,PG,32,SAS,68,1,1685,252,611,0.412,161,429,0.375,91,182,0.5,0.544,71,78,0.91,18,98,116,162,42,3,66,81,736,67.821,34.827,17.108,61.711000000000000,78.819,63.063000000000000,38.92925400000000,15.915939,6.039124,29.868124,35.907248,29.008980000000000,0.5625,1.148,0.914,0.706,0.968,0.9111317829457370,1.125
345,Paul Millsap,PF,35,DEN,56,1162,0.476,12.5,0.643,0.244,0.309,0.08,0.01,0.357,0.55,0.694,0.5,0.375,0.0,0.343,0.613,0.98,0.04,13,0.196,0.464,0,0,346,PF,35,DEN,56,36,1162,191,401,0.476,49,143,0.343,142,258,0.55,0.537,71,98,0.724,76,186,262,98,51,36,51,111,502,97.844,123.90900000000000,32.08,4.01,36.090000000000000,28.028000000000000,67.903736,61.954500000000000,12.03,0.0,12.03,13.004992000000000,0.5145000000000000,1.388,1.0,0.75,0.0,0.6666666666666670,1.0290000000000000
346,Shake Milton,SG,24,PHI,63,1461,0.45,13.9,0.696,0.193,0.214,0.181,0.106,0.304,0.494,0.62,0.42,0.479,0.437,0.35,0.362,0.803,0.0,0,0.182,0.432,0,0,347,SG,24,PHI,63,4,1461,300,667,0.45,71,203,0.35,229,464,0.494,0.503,146,176,0.83,33,115,148,193,39,18,103,130,817,128.731,142.738,120.72700000000000,70.702,191.42900000000000,36.946,79.81322,59.94996,57.82823300000000,30.896774,88.72500700000000,15.960672000000000,0.5250000000000000,1.24,0.84,0.958,0.874,0.9269756097560980,1.0500000000000000
347,Donovan Mitchell,PG,24,UTA,53,1771,0.438,16.0,0.577,0.157,0.219,0.093,0.108,0.423,0.476,0.608,0.418,0.451,0.424,0.386,0.15,0.5,0.022,14,0.104,0.375,4,0,348,PG,24,UTA,53,53,1771,478,1091,0.438,178,461,0.386,300,630,0.476,0.52,267,316,0.845,50,185,235,277,52,15,147,117,1401,171.287,238.929,101.463,117.828,219.291,47.944000000000000,104.142496,99.872322,45.759813,49.959072,95.718885,17.979,0.579,1.216,0.836,0.902,0.848,0.8729850746268660,1.158
349,Malik Monk,SG,22,CHO,42,878,0.434,16.8,0.469,0.228,0.125,0.065,0.05,0.531,0.471,0.582,0.4,0.231,0.45,0.401,0.432,0.8,0.023,8,0.156,0.576,0,0,350,SG,22,CHO,42,0,878,173,399,0.434,85,212,0.401,88,187,0.471,0.54,59,72,0.819,14,87,101,87,19,4,55,47,490,90.97200000000000,49.875,25.935000000000000,19.950000000000000,45.885000000000000,33.072,52.945704,19.950000000000000,5.990985000000000,8.977500000000000,14.968485000000000,19.049472,0.6015,1.164,0.8,0.462,0.9,0.6524347826086960,1.203
350,E'Twaun Moore,SG,31,PHO,27,389,0.455,13.0,0.711,0.174,0.314,0.132,0.091,0.289,0.512,0.381,0.474,0.75,0.545,0.314,0.432,0.909,0.008,1,0.2,0.429,0,0,351,SG,31,PHO,27,1,389,55,121,0.455,11,35,0.314,44,86,0.512,0.5,12,14,0.857,14,31,45,40,15,5,23,32,133,21.054,37.994,15.972000000000000,11.011,26.983,7.0,8.021574,18.009156000000000,11.979000000000000,6.000995,17.979995000000000,3.003,0.471,0.762,0.948,1.5,1.09,1.3326905829596400,0.942
351,Ja Morant,PG,21,MEM,63,2053,0.449,10.7,0.748,0.335,0.261,0.132,0.02,0.252,0.499,0.632,0.372,0.437,0.316,0.303,0.294,0.603,0.06,46,0.104,0.24,1,0,352,PG,21,MEM,63,63,2053,430,957,0.449,73,241,0.303,357,716,0.499,0.487,271,372,0.728,59,193,252,465,57,13,203,87,1204,320.595,249.77700000000000,126.32400000000000,19.14,145.464,25.064,202.61604000000000,92.917044,55.203588,6.04824,61.251828,6.015360000000000,0.4545,1.264,0.744,0.874,0.632,0.8421578947368420,0.909
353,Marcus Morris,PF,31,LAC,57,1502,0.473,18.4,0.493,0.082,0.098,0.2,0.113,0.507,0.472,0.604,0.316,0.504,0.455,0.473,0.456,0.936,0.007,3,0.318,0.564,3,0,354,PF,31,LAC,57,29,1502,276,584,0.473,140,296,0.473,136,288,0.472,0.592,73,89,0.82,35,199,234,58,34,15,57,117,765,47.888000000000000,57.232,116.80000000000000,65.992,182.79200000000000,94.128,28.924352000000000,18.085312,58.867200000000000,30.026360000000000,88.89356000000000,53.08819200000000,0.7095,1.208,0.632,1.008,0.91,0.9726198083067090,1.419
354,Markieff Morris,PF,31,LAL,61,1200,0.405,17.6,0.447,0.132,0.138,0.119,0.058,0.553,0.521,0.7,0.5,0.444,0.318,0.311,0.545,1.0,0.016,5,0.33,0.333,1,0,355,PF,31,LAL,61,27,1200,153,378,0.405,65,209,0.311,88,169,0.521,0.491,36,50,0.72,48,218,266,73,22,19,54,105,407,49.896,52.164,44.982,21.924,66.906,68.97,34.9272,26.082,19.972008,6.971832,26.943840000000000,22.967010000000000,0.4665,1.4,1.0,0.888,0.636,0.8054237288135590,0.933
355,Monte Morris,PG,25,DEN,47,1196,0.481,14.0,0.654,0.235,0.186,0.119,0.114,0.346,0.534,0.769,0.333,0.543,0.364,0.381,0.4,0.804,0.003,1,0.276,0.27,2,0,356,PG,25,DEN,47,13,1196,186,387,0.481,51,134,0.381,135,253,0.534,0.547,58,73,0.795,11,85,96,150,34,13,34,48,481,90.945,71.982,46.053,44.118,90.17100000000000,36.984,69.93670500000000,23.970006,25.006779,16.058952,41.065731,9.98568,0.5715,1.538,0.666,1.086,0.728,0.9108412017167380,1.143
357,Dejounte Murray,PG,24,SAS,67,2139,0.453,12.6,0.796,0.193,0.205,0.266,0.131,0.204,0.488,0.649,0.39,0.452,0.477,0.317,0.275,0.857,0.013,12,0.206,0.293,0,0,358,PG,24,SAS,67,67,2139,441,974,0.453,63,199,0.317,378,775,0.488,0.485,106,134,0.791,58,415,473,363,101,7,117,135,1051,187.982,199.67,259.084,127.59400000000000,386.678,40.994,122.00031800000000,77.87130000000000,117.105968,60.862338,177.968306,12.011242,0.47550000000000000,1.298,0.78,0.904,0.954,0.9204987405541560,0.9510000000000000
358,Jamal Murray,PG,23,DEN,48,1704,0.477,16.9,0.601,0.124,0.144,0.145,0.188,0.399,0.523,0.816,0.465,0.496,0.396,0.408,0.333,0.581,0.027,19,0.136,0.488,1,0,359,PG,23,DEN,48,48,1704,378,792,0.477,129,316,0.408,249,476,0.523,0.559,133,153,0.869,37,157,194,231,64,13,108,95,1018,98.208,114.04800000000000,114.84000000000000,148.896,263.736,42.976000000000000,80.137728,53.03232,56.96064000000000,58.962816,115.92345600000000,20.972288000000000,0.612,1.632,0.93,0.992,0.792,0.879087087087087,1.224
359,Mike Muscala,C,29,OKC,35,645,0.446,19.9,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.5,0.818,0.412,0.37,0.765,0.971,0.015,4,0.255,0.426,1,0,360,C,29,OKC,35,0,645,119,267,0.446,68,184,0.37,51,83,0.614,0.573,33,36,0.917,19,113,132,28,8,11,21,54,339,34.977000000000000,20.025,10.947000000000000,17.088,28.035000000000000,46.92,24.973578000000000,10.0125,8.954646,7.040256,15.994902,19.98792,0.5550000000000000,1.428,1.0,1.636,0.824,1.1410666666666700,1.1100000000000000
360,Sviatoslav Mykhailiuk,SF-SG,23,TOT,66,1324,0.411,17.6,0.379,0.209,0.105,0.04,0.026,0.621,0.536,0.66,0.302,0.5,0.538,0.334,0.563,0.886,0.03,14,0.223,0.414,1,0,361,SF-SG,23,TOT,66,14,1324,208,506,0.411,105,314,0.334,103,192,0.536,0.515,38,50,0.76,24,139,163,110,51,12,88,63,559,105.75400000000000,53.130000000000000,20.240000000000000,13.156000000000000,33.396,70.022,69.79764,16.04526,10.120000000000000,7.077928,17.197928,28.989108,0.501,1.32,0.604,1.0,1.076,1.029939393939390,1.002
362,Larry Nance Jr.,PF,28,CLE,35,1091,0.471,13.5,0.581,0.313,0.162,0.059,0.048,0.419,0.551,0.682,0.432,0.25,0.462,0.36,0.747,0.951,0.169,42,0.281,0.344,0,0,363,PF,28,CLE,35,27,1091,128,272,0.471,41,114,0.36,87,158,0.551,0.546,30,49,0.612,54,181,235,107,61,17,55,72,327,85.136,44.064,16.048,13.056000000000000,29.104,32.034000000000000,58.062752,19.035648,4.012,6.031872000000000,10.043872,11.019696000000000,0.54,1.364,0.864,0.5,0.924,0.6902056074766360,1.08
364,Raul Neto,PG,28,WAS,64,1403,0.468,13.7,0.633,0.172,0.315,0.105,0.04,0.367,0.512,0.61,0.489,0.511,0.278,0.39,0.421,0.938,0.0,0,0.274,0.356,2,0,365,PG,28,WAS,64,22,1403,209,447,0.468,64,164,0.39,145,283,0.512,0.539,75,85,0.882,28,128,156,146,73,6,53,109,557,76.884,140.805,46.935000000000000,17.88,64.815,44.93600000000000,46.89924,68.853645,23.983785000000000,4.97064,28.954425000000000,15.997216000000000,0.585,1.22,0.978,1.022,0.556,0.8934482758620690,1.17
365,Georges Niang,PF,27,UTA,72,1154,0.437,19.8,0.279,0.067,0.128,0.072,0.012,0.721,0.469,0.593,0.538,0.276,0.2,0.425,0.698,0.992,0.005,2,0.36,0.419,0,0,366,PF,27,UTA,72,10,1154,177,405,0.437,124,292,0.425,53,113,0.469,0.59,22,23,0.957,28,148,176,59,25,8,51,116,500,27.135,51.84,29.160000000000000,4.86,34.020000000000000,105.12000000000000,16.091055,27.889920000000000,8.04816,0.9720000000000000,9.020160000000000,44.04528000000000,0.6375,1.186,1.076,0.552,0.4,0.5302857142857140,1.275
368,Jaylen Nowell,SG,21,MIN,42,759,0.424,15.9,0.552,0.176,0.179,0.125,0.072,0.448,0.497,0.559,0.383,0.619,0.417,0.333,0.446,0.8,0.015,5,0.193,0.448,1,0,369,SG,21,MIN,42,0,759,142,335,0.424,50,150,0.333,92,185,0.497,0.499,45,55,0.818,19,76,95,62,22,12,28,72,379,58.960000000000000,59.965000000000000,41.875,24.120000000000000,65.995,28.95,32.95864,22.966595000000000,25.920625,10.058040000000000,35.978665,12.9696,0.49950000000000000,1.118,0.766,1.238,0.834,1.0903451776649700,0.9990000000000000
370,Kendrick Nunn,PG,25,MIA,56,1650,0.485,16.1,0.514,0.229,0.12,0.087,0.078,0.486,0.583,0.755,0.405,0.421,0.529,0.381,0.452,0.852,0.021,12,0.188,0.317,1,0,371,PG,25,MIA,56,44,1650,319,658,0.485,122,320,0.381,197,338,0.583,0.578,56,60,0.933,21,158,179,148,52,14,80,108,816,150.68200000000000,78.96,57.246000000000000,51.324,108.57,60.16,113.76491000000000,31.9788,24.100566000000000,27.150396,51.250962,19.070720000000000,0.5715,1.51,0.81,0.842,1.058,0.944109090909091,1.143
372,Jusuf Nurki,C,26,POR,37,880,0.514,5.7,0.91,0.565,0.27,0.042,0.033,0.09,0.525,0.596,0.433,0.5,0.091,0.4,0.711,0.917,0.093,28,0.0,,1,0,373,C,26,POR,37,37,880,171,333,0.514,12,30,0.4,159,303,0.525,0.532,70,113,0.619,86,246,332,125,38,39,73,103,424,188.14500000000000,89.91000000000000,13.986,10.989,24.975,0.0,112.13442000000000,38.93103000000000,6.993,0.9999990000000000,7.992999,,0.6000000000000000,1.192,0.866,1.0,0.182,0.64008,1.2000000000000000
374,Jordan Nwora,SF,22,MIL,30,274,0.459,16.8,0.541,0.193,0.133,0.096,0.119,0.459,0.466,0.577,0.389,0.308,0.5,0.452,0.441,0.643,0.022,1,0.194,0.417,1,0,375,SF,22,MIL,30,2,274,62,135,0.459,28,62,0.452,34,73,0.466,0.563,19,25,0.76,9,51,60,7,16,7,24,22,171,26.055,17.955000000000000,12.96,16.065000000000000,29.025,12.028,15.033735000000000,6.984495000000000,3.99168,8.032500000000000,12.02418,5.015676,0.678,1.154,0.778,0.616,1.0,0.8285395348837210,1.356
378,Chuma Okeke,PF,22,ORL,45,1133,0.417,16.9,0.565,0.154,0.157,0.117,0.136,0.435,0.47,0.68,0.333,0.447,0.409,0.348,0.407,0.98,0.022,7,0.149,0.381,3,0,379,PF,22,ORL,45,19,1133,135,324,0.417,49,141,0.348,86,183,0.47,0.492,30,40,0.75,42,139,181,101,48,22,38,48,349,49.896,50.868,37.908,44.064,81.97200000000000,21.009,33.929280000000000,16.939044000000000,16.944876,18.022176000000000,34.967052000000000,8.004429,0.522,1.36,0.666,0.894,0.818,0.8531462450592880,1.044
381,Isaac Okoro,SG,20,CLE,67,2173,0.42,11.8,0.617,0.377,0.197,0.023,0.02,0.383,0.501,0.611,0.364,0.077,0.273,0.29,0.659,0.871,0.063,32,0.383,0.366,0,0,382,SG,20,CLE,67,67,2173,235,559,0.42,62,214,0.29,173,345,0.501,0.476,114,157,0.726,68,138,206,128,62,24,86,185,646,210.743,110.123,12.857,11.18,24.037,81.962,128.763973,40.084772,0.9899890000000000,3.05214,4.042129,29.998092,0.43500000000000000,1.222,0.728,0.154,0.546,0.33632558139534900,0.8700000000000000
383,Victor Oladipo,SG,28,TOT,33,1080,0.408,15.1,0.585,0.247,0.156,0.085,0.097,0.415,0.466,0.655,0.356,0.306,0.304,0.326,0.357,0.654,0.03,14,0.151,0.306,0,0,384,SG,28,TOT,33,33,1080,235,576,0.408,78,239,0.326,157,337,0.466,0.476,104,138,0.754,12,148,160,151,46,14,83,81,652,142.272,89.856,48.96,55.872,104.832,36.089,93.18816,31.988736000000000,14.98176,16.985088,31.966848,11.043234,0.489,1.31,0.712,0.612,0.608,0.6098681318681320,0.978
385,Kelly Olynyk,C-PF,29,TOT,70,1997,0.484,15.6,0.472,0.286,0.135,0.03,0.022,0.528,0.641,0.769,0.479,0.286,0.467,0.342,0.739,0.937,0.032,20,0.158,0.276,0,0,386,C-PF,29,TOT,70,62,1997,337,697,0.484,126,368,0.342,211,329,0.641,0.574,145,175,0.829,87,402,489,203,79,42,126,207,945,199.34200000000000,94.09500000000000,20.91,15.334,36.244,58.144,153.293998,45.071505,5.9802600000000000,7.160978,13.141238,16.047744,0.513,1.538,0.958,0.572,0.934,0.7251538461538460,1.026
387,Cedi Osman,SF,25,CLE,59,1510,0.374,16.3,0.447,0.234,0.147,0.051,0.015,0.553,0.458,0.569,0.314,0.4,0.333,0.306,0.617,0.859,0.012,7,0.191,0.323,0,0,388,SF,25,CLE,59,26,1510,219,586,0.374,99,324,0.306,120,262,0.458,0.458,76,95,0.8,38,163,201,174,53,9,80,119,613,137.124,86.142,29.886,8.79,38.676,61.884,78.02355600000000,27.048588,11.9544,2.92707,14.88147,19.988532,0.45900000000000000,1.138,0.628,0.8,0.666,0.7695454545454550,0.9180000000000000
389,Kelly Oubre Jr.,SF,25,GSW,55,1687,0.439,13.2,0.606,0.267,0.238,0.062,0.04,0.394,0.519,0.72,0.355,0.422,0.31,0.316,0.675,0.944,0.133,84,0.354,0.386,0,0,390,SF,25,GSW,55,50,1687,318,724,0.439,90,285,0.316,228,439,0.519,0.501,123,177,0.695,82,247,329,73,57,42,70,121,849,193.30800000000000,172.31200000000000,44.888,28.96,73.848,100.89,139.18176,61.170760000000000,18.942736,8.9776,27.920336,38.94354,0.474,1.44,0.71,0.844,0.62,0.756156862745098,0.948
391,Eric Paschall,PF,24,GSW,40,695,0.497,11.3,0.819,0.265,0.265,0.104,0.185,0.181,0.533,0.671,0.443,0.452,0.509,0.333,0.562,0.944,0.081,22,0.204,0.364,0,0,392,PF,24,GSW,40,2,695,148,298,0.497,18,54,0.333,130,244,0.533,0.527,67,94,0.713,28,100,128,51,12,7,43,68,381,78.97,78.97,30.992000000000000,55.13,86.122,11.016,52.988870000000000,34.98371,14.008384,28.06117,42.069554,4.009824,0.49950000000000000,1.342,0.886,0.904,1.018,0.9769757785467130,0.9990000000000000
395,Chris Paul,PG,35,PHO,70,2199,0.499,16.9,0.706,0.058,0.114,0.327,0.208,0.294,0.543,0.667,0.55,0.516,0.546,0.395,0.083,0.412,0.0,0,0.097,0.4,4,0,396,PG,35,PHO,70,70,2199,439,879,0.499,102,258,0.395,337,621,0.543,0.557,169,181,0.934,25,287,312,622,99,19,156,166,1149,50.982,100.206,287.433,182.832,470.265,25.026,34.004994,55.11330000000000,148.315428,99.826272,248.14170000000000,10.0104,0.5925,1.334,1.1,1.032,1.092,1.0553271028037400,1.185
396,Cameron Payne,PG,26,PHO,60,1079,0.484,15.1,0.58,0.159,0.253,0.124,0.043,0.42,0.515,0.667,0.43,0.49,0.529,0.44,0.28,0.685,0.0,0,0.133,0.455,2,0,397,PG,26,PHO,60,1,1079,191,395,0.484,73,166,0.44,118,229,0.515,0.576,50,56,0.893,16,128,144,217,36,16,60,97,505,62.805,99.935,48.98,16.985,65.965,22.078000000000000,41.890935,42.97205,24.0002,8.985065,32.985265,10.045490000000000,0.66,1.334,0.86,0.98,1.058,1.0000838323353300,1.32
