,Player,Pos_x,Age_x,Tm_x,G_x,MP_x,FG%_x,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves,Rk,Pos_y,Age_y,Tm_y,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0-3_attempts,3-10_attempts,10-16_attempts,16-3P_attempts,midrange_attempts,corner_3_attempts,0-3_made,3-10_made,10-16_made,16-3P_made,midrange_made,corner_3_made,EFG%_3P,PPS_0-3,PPS_3-10,PPS_10-16,PPS_16-3P,PPS_midrange,PPS_3P
244,Frank Jackson,PG,22,DET,40,738,0.457,16.4,0.488,0.133,0.208,0.109,0.038,0.512,0.51,0.59,0.541,0.406,0.364,0.407,0.548,0.984,0.02,4,0.42,0.508,0,0,245,PG,22,DET,40,6,738,134,293,0.457,61,150,0.407,73,143,0.51,0.561,61,75,0.813,15,71,86,36,15,1,34,53,390,38.969,60.944000000000000,31.937,11.134,43.071,63.0,22.99171,32.970704,12.966422000000000,4.052776,17.019198000000000,32.004,0.6105000000000000,1.18,1.082,0.812,0.728,0.7902857142857150,1.2210000000000000
246,Josh Jackson,SG,23,DET,62,1560,0.419,13.4,0.636,0.267,0.221,0.064,0.085,0.364,0.487,0.619,0.385,0.333,0.45,0.3,0.457,0.922,0.038,23,0.268,0.319,2,0,247,SG,23,DET,62,25,1560,296,707,0.419,77,257,0.3,219,450,0.487,0.473,159,218,0.729,57,197,254,143,53,47,142,178,828,188.769,156.247,45.248,60.095000000000000,105.343,68.876,116.848011,60.15509500000000,15.067584,27.04275,42.110334,21.971444,0.45000000000000000,1.238,0.77,0.666,0.9,0.7994899328859060,0.9000000000000000
247,Justin Jackson,SF,25,TOT,34,577,0.403,16.8,0.471,0.136,0.213,0.095,0.027,0.529,0.51,0.7,0.468,0.333,0.5,0.308,0.717,0.806,0.005,1,0.162,0.211,0,0,248,SF,25,TOT,34,3,577,89,221,0.403,36,117,0.308,53,104,0.51,0.484,31,37,0.838,16,61,77,52,15,2,32,32,245,30.056,47.073,20.995,5.967,26.962,18.954,21.0392,22.030164000000000,6.991335,2.9835,9.974835,3.999294,0.46200000000000000,1.4,0.936,0.666,1.0,0.7399180327868850,0.9240000000000000
248,Reggie Jackson,SG,30,LAC,67,1544,0.45,16.2,0.518,0.188,0.166,0.094,0.07,0.482,0.465,0.609,0.361,0.345,0.488,0.433,0.262,0.844,0.015,8,0.22,0.5,1,0,249,SG,30,LAC,67,43,1544,263,585,0.45,122,282,0.433,141,303,0.465,0.554,67,82,0.817,24,168,192,205,41,7,74,127,715,109.98,97.11,54.99,40.95,95.94,62.04,66.97782,35.056710000000000,18.97155,19.983600000000000,38.95515,31.02,0.6495,1.218,0.722,0.69,0.976,0.8120731707317070,1.299
250,LeBron James,PG,36,LAL,45,1504,0.513,13.9,0.654,0.318,0.118,0.104,0.113,0.346,0.591,0.782,0.474,0.384,0.366,0.365,0.327,0.519,0.062,48,0.077,0.455,0,0,251,PG,36,LAL,45,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,261.714,97.11400000000000,85.592,92.99900000000000,178.591,21.945,204.660348,46.03203600000000,32.867328,34.037634000000000,66.90496200000000,9.984975,0.5475,1.564,0.948,0.768,0.732,0.7492534562211980,1.095
253,Ty Jerome,SG,23,OKC,33,788,0.446,18.9,0.415,0.059,0.226,0.087,0.042,0.585,0.479,0.647,0.508,0.48,0.083,0.423,0.228,0.817,0.0,0,0.155,0.462,2,0,254,SG,23,OKC,33,1,788,128,287,0.446,71,168,0.423,57,119,0.479,0.57,26,34,0.765,10,81,91,120,20,6,47,61,353,16.933,64.862,24.969000000000000,12.054,37.023000000000000,26.04,10.955651,32.949896000000000,11.985120000000000,1.000482,12.985602000000000,12.03048,0.6345,1.294,1.016,0.96,0.166,0.7014883720930230,1.269
256,Cameron Johnson,PF,24,PHO,60,1437,0.42,19.5,0.306,0.143,0.066,0.054,0.043,0.694,0.581,0.754,0.5,0.346,0.429,0.349,0.837,0.983,0.046,20,0.379,0.425,1,0,257,PF,24,PHO,60,11,1437,203,483,0.42,117,335,0.349,86,148,0.581,0.541,50,59,0.847,33,166,199,86,37,16,40,85,573,69.06900000000000,31.878,26.082,20.769,46.851,126.965,52.078026000000000,15.939,9.024372,8.909901,17.934273000000000,53.960125,0.5235,1.508,1.0,0.692,0.858,0.7655876288659790,1.047
257,James Johnson,PF,33,TOT,51,1043,0.446,11.7,0.633,0.364,0.205,0.049,0.015,0.367,0.556,0.672,0.403,0.313,0.6,0.258,0.557,0.935,0.043,12,0.433,0.231,1,0,258,PF,33,TOT,51,12,1043,146,327,0.446,31,120,0.258,115,207,0.556,0.494,45,76,0.592,32,145,177,98,42,42,55,120,368,119.02800000000000,67.035,16.023,4.905,20.928,51.96,79.986816,27.015105000000000,5.015199,2.943,7.9581990000000000,12.00276,0.387,1.344,0.806,0.626,1.2,0.76053125,0.774
258,Keldon Johnson,SF,21,SAS,69,1968,0.479,9.7,0.743,0.391,0.277,0.045,0.03,0.257,0.531,0.652,0.374,0.5,0.429,0.331,0.673,0.917,0.047,27,0.238,0.279,2,0,259,SF,21,SAS,69,67,1968,338,705,0.479,60,181,0.331,278,524,0.531,0.522,145,196,0.74,93,319,412,121,40,24,78,142,881,275.65500000000000,195.28500000000000,31.725000000000000,21.15,52.875,43.078000000000000,179.72706000000000,73.03659,15.862500000000000,9.07335,24.93585,12.018762,0.49650000000000000,1.304,0.748,1.0,0.858,0.9432000000000000,0.9930000000000000
260,Tyler Johnson,SG,28,BRK,39,684,0.393,21.0,0.279,0.082,0.055,0.066,0.077,0.721,0.471,0.6,0.4,0.417,0.429,0.364,0.625,0.958,0.0,0,0.311,0.415,1,0,261,SG,28,BRK,39,3,684,72,183,0.393,48,132,0.364,24,51,0.471,0.525,18,21,0.857,6,71,77,47,14,0,17,43,210,15.006,10.065,12.078000000000000,14.091,26.169,41.052,9.0036,4.026,5.036526,6.045039000000000,11.081565,17.03658,0.546,1.2,0.8,0.834,0.858,0.8469230769230770,1.092
