Player,Pos,Age,Tm,G,MP,FG%,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves
Justin Jackson\jacksju01,SF,25,OKC,33,544,0.406,16.7,0.476,0.137,0.217,0.094,0.028,0.524,0.515,0.724,0.478,0.300,0.500,0.306,0.712,0.824,0.005,1,0.171,0.211,0,0
Justin Jackson\jacksju01,SF,25,MIL,1,33,0.333,19.6,0.333,0.111,0.111,0.111,0.000,0.667,0.333,0.000,0.000,1.000,,0.333,1.000,0.500,0.000,0,0.000,,0,0
Reggie Jackson\jacksre01,SG,30,LAC,67,1544,0.450,16.2,0.518,0.188,0.166,0.094,0.070,0.482,0.465,0.609,0.361,0.345,0.488,0.433,0.262,0.844,0.015,8,0.220,0.500,1,0
Justin James\jamesju01,SF,24,SAC,36,310,0.468,13.2,0.658,0.198,0.297,0.108,0.054,0.342,0.521,0.682,0.424,0.667,0.167,0.368,0.658,1.000,0.063,5,0.342,0.385,1,0
LeBron James\jamesle01,PG,36,LAL,45,1504,0.513,13.9,0.654,0.318,0.118,0.104,0.113,0.346,0.591,0.782,0.474,0.384,0.366,0.365,0.327,0.519,0.062,48,0.077,0.455,0,0
Mike James\jamesmi02,PG,30,BRK,13,236,0.370,14.5,0.663,0.130,0.272,0.152,0.109,0.337,0.377,0.167,0.480,0.357,0.400,0.355,0.174,0.455,0.022,1,0.226,0.571,0,0
DaQuan Jeffries\jeffrda01,SG,23,TOT,31,493,0.417,16.3,0.442,0.200,0.167,0.025,0.050,0.558,0.566,0.792,0.350,0.000,0.667,0.299,0.600,0.950,0.108,10,0.388,0.346,0,0
DaQuan Jeffries\jeffrda01,SG,23,SAC,18,232,0.421,14.6,0.509,0.228,0.211,0.053,0.018,0.491,0.517,0.769,0.333,0.000,1.000,0.321,0.800,1.000,0.105,4,0.429,0.333,0,0
DaQuan Jeffries\jeffrda01,SG,23,HOU,13,261,0.413,17.8,0.381,0.175,0.127,0.000,0.079,0.619,0.625,0.818,0.375,,0.600,0.282,0.400,0.909,0.111,6,0.359,0.357,0,0
Ty Jerome\jeromty01,SG,23,OKC,33,788,0.446,18.9,0.415,0.059,0.226,0.087,0.042,0.585,0.479,0.647,0.508,0.480,0.083,0.423,0.228,0.817,0.000,0,0.155,0.462,2,0
Isaiah Joe\joeis01,SG,21,PHI,41,383,0.361,23.3,0.203,0.030,0.045,0.053,0.075,0.797,0.333,0.250,0.167,0.429,0.400,0.368,0.556,1.000,0.000,0,0.198,0.333,0,0
Alize Johnson\johnsal02,PF,24,BRK,18,189,0.588,6.3,0.912,0.397,0.412,0.103,0.000,0.088,0.629,0.815,0.429,0.714,,0.167,0.615,1.000,0.015,1,0.333,0.000,0,0
Cameron Johnson\johnsca02,PF,24,PHO,60,1437,0.420,19.5,0.306,0.143,0.066,0.054,0.043,0.694,0.581,0.754,0.500,0.346,0.429,0.349,0.837,0.983,0.046,20,0.379,0.425,1,0
James Johnson\johnsja01,PF,33,TOT,51,1043,0.446,11.7,0.633,0.364,0.205,0.049,0.015,0.367,0.556,0.672,0.403,0.313,0.600,0.258,0.557,0.935,0.043,12,0.433,0.231,1,0
James Johnson\johnsja01,PF,33,DAL,29,504,0.462,12.6,0.586,0.345,0.200,0.028,0.014,0.414,0.612,0.740,0.414,0.500,0.500,0.250,0.558,1.000,0.034,5,0.533,0.219,1,0
James Johnson\johnsja01,PF,33,NOP,22,539,0.434,11.0,0.670,0.379,0.209,0.066,0.016,0.330,0.516,0.623,0.395,0.250,0.667,0.267,0.556,0.875,0.049,7,0.333,0.250,0,0
Keldon Johnson\johnske04,SF,21,SAS,69,1968,0.479,9.7,0.743,0.391,0.277,0.045,0.030,0.257,0.531,0.652,0.374,0.500,0.429,0.331,0.673,0.917,0.047,27,0.238,0.279,2,0
Stanley Johnson\johnsst04,PF,24,TOR,61,1006,0.382,17.1,0.412,0.193,0.159,0.043,0.017,0.588,0.458,0.489,0.486,0.400,0.000,0.328,0.318,0.956,0.017,4,0.314,0.349,1,0
Tyler Johnson\johnsty01,SG,28,BRK,39,684,0.393,21.0,0.279,0.082,0.055,0.066,0.077,0.721,0.471,0.600,0.400,0.417,0.429,0.364,0.625,0.958,0.000,0,0.311,0.415,1,0
Nikola Jokić\jokicni01,C,25,DEN,72,2488,0.566,10.6,0.817,0.244,0.350,0.140,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,0.375,3,0
Damian Jones\jonesda03,C,25,TOT,39,547,0.680,6.1,0.951,0.631,0.184,0.087,0.049,0.049,0.704,0.769,0.632,0.667,0.200,0.200,0.884,1.000,0.350,31,0.200,1.000,2,0
Damian Jones\jonesda03,C,25,PHO,14,94,0.500,9.5,0.938,0.625,0.188,0.063,0.063,0.063,0.533,0.600,0.333,1.000,0.000,0.000,1.000,,0.313,3,0.000,,1,0
Damian Jones\jonesda03,C,25,LAL,8,112,0.941,1.8,1.000,0.765,0.235,0.000,0.000,0.000,0.941,0.923,1.000,,,,0.750,,0.647,10,,,0,0
Damian Jones\jonesda03,C,25,SAC,17,341,0.657,6.4,0.943,0.600,0.171,0.114,0.057,0.057,0.682,0.762,0.583,0.625,0.250,0.250,0.911,1.000,0.286,18,0.250,1.000,1,0
Derrick Jones Jr.\jonesde02,SF,23,POR,58,1318,0.484,12.0,0.553,0.467,0.079,0.003,0.003,0.447,0.619,0.662,0.375,1.000,0.000,0.316,0.673,0.977,0.197,50,0.522,0.310,1,0
Mason Jones\jonesma05,SG,22,TOT,32,334,0.423,17.6,0.463,0.171,0.163,0.057,0.073,0.537,0.491,0.619,0.400,0.571,0.333,0.364,0.500,0.708,0.008,1,0.106,0.571,0,0
Mason Jones\jonesma05,SG,22,HOU,26,307,0.412,18.3,0.439,0.149,0.158,0.061,0.070,0.561,0.480,0.588,0.389,0.571,0.375,0.359,0.500,0.696,0.000,0,0.109,0.571,0,0
Mason Jones\jonesma05,SG,22,PHI,6,27,0.556,9.1,0.778,0.444,0.222,0.000,0.111,0.222,0.571,0.750,0.500,,0.000,0.500,0.500,1.000,0.111,1,0.000,,0,0
Tre Jones\jonestr01,PG,21,SAS,37,269,0.474,6.9,0.936,0.397,0.333,0.192,0.013,0.064,0.466,0.742,0.231,0.333,0.000,0.600,0.412,0.333,0.026,2,0.400,0.500,0,0
Tyus Jones\jonesty01,PG,24,MEM,70,1222,0.431,14.2,0.661,0.133,0.225,0.257,0.046,0.339,0.487,0.527,0.484,0.500,0.316,0.321,0.293,0.911,0.000,0,0.300,0.310,0,0
DeAndre Jordan\jordade01,C,32,BRK,57,1246,0.763,1.7,0.996,0.876,0.108,0.004,0.008,0.004,0.766,0.826,0.370,0.000,0.000,0.000,0.800,,0.610,137,0.000,,0,0
Cory Joseph\josepco01,PG,29,TOT,63,1446,0.469,13.0,0.690,0.218,0.254,0.143,0.075,0.310,0.527,0.753,0.463,0.328,0.469,0.341,0.335,0.889,0.000,0,0.303,0.400,0,0
Cory Joseph\josepco01,PG,29,SAC,44,944,0.444,14.3,0.624,0.200,0.196,0.140,0.088,0.376,0.513,0.740,0.510,0.200,0.500,0.330,0.413,0.968,0.000,0,0.362,0.441,0,0
Cory Joseph\josepco01,PG,29,DET,19,502,0.506,11.2,0.784,0.244,0.335,0.148,0.057,0.216,0.543,0.767,0.424,0.500,0.400,0.368,0.253,0.714,0.000,0,0.158,0.167,0,0
Mfiondu Kabengele\kabenmf01,PF,23,TOT,39,280,0.371,16.1,0.438,0.270,0.090,0.056,0.022,0.562,0.513,0.667,0.375,0.200,0.000,0.260,0.500,0.923,0.101,9,0.260,0.231,0,0
Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,94,0.281,17.0,0.438,0.125,0.188,0.063,0.063,0.563,0.357,0.750,0.333,0.000,0.000,0.222,0.800,0.750,0.063,2,0.278,0.400,0,0
Mfiondu Kabengele\kabenmf01,PF,23,CLE,16,186,0.421,15.6,0.439,0.351,0.035,0.053,0.000,0.561,0.600,0.650,0.500,0.333,,0.281,0.400,1.000,0.123,7,0.250,0.125,0,0
Frank Kaminsky\kaminfr01,C,27,PHO,47,715,0.471,12.2,0.669,0.276,0.276,0.070,0.047,0.331,0.523,0.676,0.451,0.444,0.167,0.365,0.767,1.000,0.035,9,0.188,0.500,0,0
Enes Kanter\kanteen01,C,28,POR,72,1758,0.604,2.7,0.993,0.695,0.275,0.016,0.007,0.007,0.607,0.695,0.416,0.222,0.250,0.250,0.459,1.000,0.032,16,0.000,,1,0
Luke Kennard\kennalu01,SG,24,LAC,63,1232,0.476,18.9,0.459,0.089,0.094,0.143,0.133,0.541,0.511,0.757,0.462,0.475,0.418,0.446,0.660,0.800,0.000,0,0.295,0.470,1,1
Louis King\kinglo02,SF,21,SAC,6,85,0.500,12.9,0.676,0.206,0.235,0.235,0.000,0.324,0.565,0.857,0.625,0.250,,0.364,0.385,0.750,0.059,2,0.364,0.000,0,0
Maxi Kleber\klebima01,PF,29,DAL,50,1341,0.422,20.9,0.229,0.102,0.047,0.055,0.025,0.771,0.460,0.643,0.154,0.467,0.286,0.410,0.793,1.000,0.044,8,0.316,0.418,0,0
Nathan Knight\knighna01,PF,23,ATL,33,279,0.370,10.1,0.670,0.410,0.210,0.040,0.010,0.330,0.463,0.561,0.381,0.000,0.000,0.182,0.774,1.000,0.180,15,0.515,0.176,0,0
Kevin Knox\knoxke01,SF,21,NYK,42,464,0.392,18.3,0.378,0.168,0.091,0.035,0.084,0.622,0.389,0.583,0.231,0.200,0.250,0.393,0.810,1.000,0.049,6,0.472,0.524,0,0
John Konchar\konchjo01,SG,24,MEM,43,575,0.500,12.4,0.594,0.341,0.181,0.058,0.014,0.406,0.585,0.745,0.360,0.250,1.000,0.375,0.750,1.000,0.065,8,0.464,0.346,0,0
Furkan Korkmaz\korkmfu01,SG,23,PHI,55,1062,0.401,19.5,0.366,0.137,0.090,0.064,0.075,0.634,0.445,0.655,0.289,0.333,0.344,0.375,0.449,0.941,0.026,10,0.249,0.403,4,0
Luke Kornet\kornelu01,C-PF,25,TOT,31,348,0.436,16.4,0.416,0.297,0.099,0.010,0.010,0.584,0.690,0.767,0.500,0.000,1.000,0.254,0.724,1.000,0.129,13,0.186,0.273,0,0
Luke Kornet\kornelu01,PF,25,CHI,13,94,0.333,22.4,0.148,0.111,0.037,0.000,0.000,0.852,0.750,0.667,1.000,,,0.261,0.667,1.000,0.037,1,0.174,0.750,0,0
Luke Kornet\kornelu01,C,25,BOS,18,254,0.473,14.2,0.514,0.365,0.122,0.014,0.014,0.486,0.684,0.778,0.444,0.000,1.000,0.250,0.731,1.000,0.162,12,0.194,0.000,0,0
Rodions Kurucs\kurucro01,SF-PF,22,TOT,21,125,0.344,17.9,0.344,0.250,0.031,0.031,0.031,0.656,0.455,0.625,0.000,0.000,0.000,0.286,0.800,1.000,0.094,2,0.238,0.400,0,0
Rodions Kurucs\kurucro01,PF,22,BRK,5,16,0.333,23.6,0.333,0.000,0.000,0.000,0.333,0.667,0.000,,,,0.000,0.500,,1.000,0.000,0,0.500,1.000,0,0
Rodions Kurucs\kurucro01,SF,22,HOU,11,75,0.238,18.2,0.286,0.286,0.000,0.000,0.000,0.714,0.500,0.500,,,,0.133,1.000,1.000,0.143,2,0.267,0.250,0,0
Rodions Kurucs\kurucro01,SF,22,MIL,5,34,0.625,15.0,0.500,0.250,0.125,0.125,0.000,0.500,0.500,1.000,0.000,0.000,,0.750,0.500,1.000,0.000,0,0.000,,0,0
Kyle Kuzma\kuzmaky01,SF,25,LAL,68,1954,0.443,16.0,0.498,0.240,0.124,0.063,0.070,0.502,0.525,0.687,0.394,0.292,0.415,0.361,0.545,0.927,0.048,29,0.295,0.357,1,0
Anthony Lamb\lamban01,SF,23,HOU,24,415,0.390,16.5,0.398,0.246,0.153,0.000,0.000,0.602,0.489,0.586,0.333,,,0.324,0.522,1.000,0.034,4,0.225,0.438,0,0
Jeremy Lamb\lambje01,SG,28,IND,36,765,0.435,16.4,0.536,0.181,0.159,0.149,0.047,0.464,0.459,0.580,0.364,0.488,0.231,0.406,0.529,0.827,0.000,0,0.094,0.417,1,0
Romeo Langford\langfro01,SG,21,BOS,18,283,0.356,11.7,0.695,0.339,0.186,0.102,0.068,0.305,0.390,0.650,0.273,0.000,0.000,0.278,0.375,1.000,0.051,3,0.444,0.250,0,0
Zach LaVine\lavinza01,SG,25,CHI,58,2034,0.507,14.9,0.575,0.310,0.093,0.061,0.110,0.425,0.571,0.693,0.362,0.478,0.460,0.419,0.355,0.515,0.050,53,0.145,0.478,1,0
Jake Layman\laymaja01,SF,26,MIN,45,627,0.495,12.7,0.576,0.413,0.125,0.016,0.022,0.424,0.642,0.750,0.348,0.333,0.500,0.295,0.765,1.000,0.136,23,0.346,0.148,1,0
T.J. Leaf\leaftj01,PF,23,POR,7,35,0.500,2.9,1.000,0.700,0.200,0.100,0.000,0.000,0.500,0.571,0.500,0.000,,,0.600,,0.100,1,,,0,0
Jalen Lecque\lecquja01,PG,20,IND,4,12,0.111,10.1,0.889,0.444,0.111,0.111,0.222,0.111,0.125,0.250,0.000,0.000,0.000,0.000,0.000,,0.000,0,0.000,,0,0
Damion Lee\leeda03,SG,28,GSW,57,1079,0.467,20.3,0.292,0.080,0.091,0.091,0.029,0.708,0.638,0.773,0.680,0.520,0.500,0.397,0.863,0.961,0.007,2,0.309,0.450,0,0
Saben Lee\leesa01,PG,21,DET,48,781,0.471,6.9,0.890,0.386,0.429,0.062,0.014,0.110,0.487,0.617,0.378,0.462,0.333,0.348,0.352,1.000,0.043,5,0.348,0.625,0,0
Alex Len\lenal01,C,27,TOT,64,979,0.615,5.6,0.910,0.432,0.432,0.047,0.000,0.090,0.644,0.792,0.550,0.154,,0.320,0.755,1.000,0.281,75,0.640,0.313,0,0
Alex Len\lenal01,C,27,TOR,7,76,0.500,14.8,0.400,0.300,0.100,0.000,0.000,0.600,0.500,0.667,0.000,,,0.500,1.000,1.000,0.200,1,0.667,0.500,0,0
Alex Len\lenal01,C,27,WAS,57,903,0.619,5.3,0.929,0.437,0.444,0.049,0.000,0.071,0.647,0.795,0.555,0.154,,0.263,0.752,1.000,0.284,74,0.632,0.250,0,0
Kawhi Leonard\leonaka01,SF,29,LAC,52,1773,0.512,13.9,0.720,0.186,0.188,0.215,0.131,0.280,0.557,0.775,0.520,0.467,0.445,0.398,0.286,0.713,0.069,60,0.169,0.512,1,0
Meyers Leonard\leoname01,C,28,MIA,3,29,0.429,27.3,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.429,,1.000,0.000,0,0.000,,0,0
Caris LeVert\leverca01,SG,26,TOT,47,1486,0.441,13.4,0.683,0.224,0.206,0.189,0.064,0.317,0.495,0.659,0.345,0.513,0.346,0.326,0.375,0.560,0.021,17,0.143,0.297,1,0
Caris LeVert\leverca01,SG,26,BRK,12,334,0.435,13.2,0.685,0.235,0.210,0.170,0.070,0.315,0.474,0.660,0.381,0.441,0.214,0.349,0.369,0.318,0.030,6,0.127,0.250,0,0
Caris LeVert\leverca01,SG,26,IND,35,1152,0.443,13.5,0.682,0.220,0.205,0.195,0.062,0.318,0.501,0.659,0.333,0.533,0.395,0.318,0.376,0.645,0.018,11,0.149,0.310,1,0
Kira Lewis Jr.\lewiski01,PG,19,NOP,54,904,0.386,12.7,0.644,0.267,0.252,0.089,0.036,0.356,0.415,0.611,0.318,0.200,0.167,0.333,0.378,0.800,0.012,4,0.183,0.273,1,0
Damian Lillard\lillada01,PG,30,POR,67,2398,0.451,17.9,0.472,0.238,0.096,0.044,0.094,0.528,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,0.185,4,0
Nassir Little\littlna01,PF,20,POR,48,640,0.467,15.6,0.521,0.269,0.114,0.054,0.084,0.479,0.575,0.689,0.526,0.444,0.357,0.350,0.560,0.821,0.090,13,0.163,0.385,0,0
Kevon Looney\looneke01,C,24,GSW,61,1161,0.548,6.3,0.914,0.548,0.223,0.086,0.056,0.086,0.578,0.722,0.364,0.353,0.364,0.235,0.635,1.000,0.137,26,0.353,0.167,0,0
Brook Lopez\lopezbr01,C,32,MIL,70,1902,0.503,14.2,0.561,0.263,0.211,0.064,0.023,0.439,0.632,0.774,0.511,0.488,0.533,0.338,0.692,0.958,0.111,66,0.270,0.408,0,0
Robin Lopez\lopezro01,C,32,WAS,71,1354,0.633,5.4,0.958,0.318,0.595,0.042,0.000,0.042,0.649,0.696,0.648,0.333,,0.278,0.617,1.000,0.080,32,0.722,0.154,0,0
Didi Louzada\louzama01,SF,21,NOP,3,56,0.231,17.6,0.385,0.154,0.154,0.077,0.000,0.615,0.200,0.500,0.000,0.000,,0.250,0.000,1.000,0.000,0,0.375,0.333,0,0
Kevin Love\loveke01,PF,32,CLE,25,622,0.409,19.4,0.381,0.115,0.123,0.079,0.063,0.619,0.479,0.621,0.484,0.400,0.313,0.365,0.609,0.895,0.000,0,0.103,0.438,0,0
Kyle Lowry\lowryky01,PG,34,TOR,46,1601,0.436,18.5,0.445,0.149,0.129,0.074,0.092,0.555,0.487,0.685,0.364,0.409,0.400,0.396,0.349,0.687,0.000,0,0.082,0.481,1,0
Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,58,1050,0.365,18.2,0.329,0.208,0.062,0.028,0.031,0.671,0.470,0.568,0.318,0.100,0.455,0.314,0.691,0.987,0.014,3,0.351,0.310,0,0
Trey Lyles\lylestr01,PF,25,SAS,23,358,0.478,14.5,0.556,0.311,0.100,0.111,0.033,0.444,0.580,0.750,0.556,0.300,0.000,0.350,0.690,1.000,0.022,2,0.175,0.714,0,0
Will Magnay\magnawi01,C,22,NOP,1,3,0.000,26.7,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.000,,0,0
Thon Maker\makerth01,C,23,CLE,8,76,0.556,7.1,0.889,0.389,0.333,0.111,0.056,0.111,0.625,0.714,0.667,0.000,1.000,0.000,0.400,,0.056,1,0.500,0.000,0,0
Théo Maledon\maledth01,PG,19,OKC,65,1778,0.368,16.8,0.490,0.171,0.164,0.107,0.047,0.510,0.402,0.419,0.376,0.424,0.379,0.335,0.331,0.781,0.003,1,0.128,0.375,3,0
Karim Mané\maneka01,PG,20,ORL,10,88,0.231,7.3,0.846,0.385,0.385,0.077,0.000,0.154,0.182,0.400,0.000,0.000,,0.500,0.000,1.000,0.077,0,0.000,,0,0
Terance Mann\mannte01,SG,24,LAC,67,1263,0.509,10.4,0.740,0.371,0.209,0.109,0.051,0.260,0.541,0.708,0.397,0.342,0.333,0.418,0.507,0.842,0.111,32,0.571,0.442,1,0
Nico Mannion\mannini01,PG,19,GSW,30,364,0.342,18.2,0.474,0.114,0.184,0.096,0.079,0.526,0.315,0.769,0.286,0.091,0.000,0.367,0.353,0.727,0.009,0,0.083,0.600,0,0
Boban Marjanović\marjabo01,C,32,DAL,33,271,0.508,6.3,0.934,0.443,0.352,0.098,0.041,0.066,0.535,0.741,0.349,0.333,0.400,0.125,0.607,1.000,0.156,17,0.000,,0,0
Lauri Markkanen\markkla01,PF,23,CHI,51,1317,0.480,16.2,0.432,0.240,0.146,0.033,0.013,0.568,0.582,0.672,0.553,0.235,0.143,0.402,0.725,0.992,0.071,33,0.213,0.540,1,0
Naji Marshall\marshna01,SF,23,NOP,32,700,0.392,13.1,0.603,0.321,0.163,0.086,0.033,0.397,0.421,0.552,0.294,0.333,0.000,0.349,0.547,0.966,0.038,6,0.482,0.325,2,0
Caleb Martin\martica02,SF,25,CHO,53,818,0.375,16.0,0.512,0.285,0.094,0.012,0.121,0.488,0.496,0.575,0.375,0.333,0.419,0.248,0.600,0.871,0.039,7,0.248,0.258,1,0
Cody Martin\martico01,SF,25,CHO,52,849,0.441,11.2,0.691,0.436,0.117,0.074,0.064,0.309,0.515,0.561,0.636,0.214,0.333,0.276,0.597,0.875,0.085,15,0.586,0.265,1,0
Jeremiah Martin\martije02,PG,24,CLE,9,75,0.273,13.1,0.636,0.273,0.242,0.030,0.091,0.364,0.286,0.444,0.000,0.000,0.667,0.250,0.333,0.667,0.000,0,0.250,0.333,0,0
Kelan Martin\martike03,SF,25,IND,35,322,0.449,14.8,0.565,0.283,0.138,0.065,0.080,0.435,0.487,0.564,0.368,0.111,0.727,0.400,0.526,0.917,0.029,3,0.233,0.500,0,0
Kenyon Martin Jr.\martike04,SF,20,HOU,45,1068,0.509,9.7,0.698,0.469,0.214,0.013,0.003,0.302,0.572,0.711,0.294,0.250,0.000,0.365,0.701,1.000,0.226,63,0.292,0.286,1,0
Frank Mason III\masonfr01,PG,26,ORL,4,79,0.375,8.1,0.792,0.500,0.250,0.000,0.042,0.208,0.368,0.417,0.333,,0.000,0.400,0.286,1.000,0.000,0,0.200,1.000,0,0
Garrison Mathews\mathega01,SG,24,WAS,64,1038,0.409,23.4,0.165,0.042,0.055,0.021,0.046,0.835,0.538,0.900,0.308,0.400,0.545,0.384,0.619,0.934,0.004,1,0.323,0.484,1,0
Dakota Mathias\mathida01,SG,25,PHI,8,123,0.396,21.0,0.458,0.042,0.042,0.104,0.271,0.542,0.500,0.500,0.500,0.600,0.462,0.308,0.545,0.875,0.000,0,0.269,0.429,0,0
Wesley Matthews\matthwe02,SG,34,LAL,58,1130,0.353,21.2,0.218,0.099,0.056,0.028,0.036,0.782,0.418,0.680,0.214,0.286,0.111,0.335,0.609,0.970,0.000,0,0.289,0.263,0,0
Tyrese Maxey\maxeyty01,SG,20,PHI,61,935,0.462,12.3,0.760,0.268,0.233,0.128,0.131,0.240,0.512,0.591,0.460,0.582,0.375,0.301,0.383,0.806,0.019,8,0.126,0.154,0,0
Skylar Mays\mayssk01,SG,23,ATL,33,269,0.449,13.3,0.592,0.408,0.061,0.051,0.071,0.408,0.517,0.550,0.500,0.400,0.429,0.350,0.400,0.929,0.051,4,0.250,0.500,0,0
Patrick McCaw\mccawpa01,SF,25,TOR,5,33,1.000,1.3,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,,,,,0.000,,0.000,0,,,0,0
CJ McCollum\mccolcj01,SG,29,POR,47,1600,0.458,17.5,0.525,0.106,0.152,0.140,0.127,0.475,0.509,0.596,0.455,0.500,0.509,0.402,0.301,0.615,0.003,2,0.143,0.450,0,0
T.J. McConnell\mccontj01,PG,28,IND,69,1796,0.559,8.4,0.902,0.331,0.341,0.188,0.043,0.098,0.586,0.654,0.545,0.554,0.524,0.313,0.363,0.800,0.000,0,0.396,0.421,1,0
Jaden McDaniels\mcdanja02,PF,20,MIN,63,1511,0.447,16.0,0.460,0.229,0.139,0.049,0.044,0.540,0.544,0.690,0.412,0.500,0.250,0.364,0.707,0.972,0.114,32,0.338,0.403,1,0
Jalen McDaniels\mcdanja01,SF,23,CHO,47,904,0.468,11.6,0.630,0.338,0.239,0.042,0.011,0.370,0.547,0.688,0.382,0.333,0.667,0.333,0.633,1.000,0.099,24,0.514,0.333,1,0
Doug McDermott\mcderdo01,PF,29,IND,66,1619,0.532,12.8,0.570,0.397,0.141,0.018,0.014,0.430,0.641,0.716,0.500,0.417,0.222,0.388,0.774,1.000,0.041,26,0.231,0.424,0,0
Sean McDermott\mcderse01,SF,24,MEM,18,158,0.394,17.8,0.333,0.242,0.030,0.061,0.000,0.667,0.727,0.750,1.000,0.500,,0.227,0.250,1.000,0.121,4,0.364,0.250,0,0
JaVale McGee\mcgeeja01,C,33,TOT,46,678,0.511,6.6,0.915,0.433,0.379,0.085,0.018,0.085,0.539,0.689,0.430,0.292,0.400,0.208,0.590,1.000,0.167,44,0.167,0.250,0,0
JaVale McGee\mcgeeja01,C,33,CLE,33,503,0.521,6.7,0.907,0.423,0.391,0.074,0.019,0.093,0.549,0.670,0.464,0.313,0.500,0.250,0.579,1.000,0.163,33,0.200,0.250,0,0
JaVale McGee\mcgeeja01,C,33,DEN,13,175,0.478,6.2,0.940,0.463,0.343,0.119,0.015,0.060,0.508,0.742,0.304,0.250,0.000,0.000,0.625,,0.179,11,0.000,,0,0
Rodney McGruder\mcgruro01,SG,29,DET,16,194,0.529,12.1,0.657,0.257,0.286,0.086,0.029,0.343,0.565,0.722,0.550,0.167,0.500,0.458,0.462,1.000,0.000,0,0.542,0.385,0,0
Alfonzo McKinnie\mckinal01,SF,28,LAL,39,258,0.516,13.5,0.581,0.323,0.151,0.043,0.065,0.419,0.593,0.700,0.429,0.500,0.500,0.410,0.594,0.938,0.097,8,0.333,0.462,0,0
Jordan McLaughlin\mclaujo01,PG,24,MIN,51,938,0.413,12.2,0.620,0.351,0.223,0.037,0.008,0.380,0.447,0.518,0.333,0.556,0.000,0.359,0.373,0.909,0.025,4,0.250,0.304,0,0
Ben McLemore\mclembe01,SG,27,TOT,53,905,0.370,21.6,0.233,0.099,0.041,0.022,0.071,0.767,0.447,0.639,0.333,0.250,0.308,0.346,0.816,0.959,0.014,4,0.236,0.500,2,0
Ben McLemore\mclembe01,SG,27,HOU,32,537,0.357,20.8,0.259,0.129,0.040,0.031,0.058,0.741,0.431,0.621,0.333,0.143,0.231,0.331,0.760,0.945,0.013,2,0.235,0.487,1,0
Ben McLemore\mclembe01,SG,27,LAL,21,368,0.390,23.0,0.191,0.050,0.043,0.007,0.092,0.809,0.481,0.714,0.333,1.000,0.385,0.368,0.923,0.976,0.014,2,0.237,0.519,1,0
Nicolò Melli\mellini01,PF,30,TOT,45,566,0.326,18.3,0.397,0.149,0.099,0.078,0.071,0.603,0.411,0.476,0.214,0.545,0.400,0.271,0.478,1.000,0.043,5,0.224,0.263,0,0
Nicolò Melli\mellini01,PF,30,NOP,22,241,0.254,19.0,0.373,0.153,0.102,0.051,0.068,0.627,0.364,0.333,0.167,0.667,0.500,0.189,0.500,1.000,0.000,0,0.162,0.167,0,0
Nicolò Melli\mellini01,PF,30,DAL,23,325,0.378,17.9,0.415,0.146,0.098,0.098,0.073,0.585,0.441,0.583,0.250,0.500,0.333,0.333,0.467,1.000,0.073,5,0.271,0.308,0,0
De'Anthony Melton\meltode01,PG,22,MEM,52,1045,0.438,16.9,0.463,0.163,0.155,0.104,0.041,0.537,0.467,0.609,0.295,0.561,0.313,0.412,0.412,0.793,0.033,12,0.213,0.467,0,0
Sam Merrill\merrisa01,SG,24,MIL,30,233,0.444,19.8,0.347,0.139,0.083,0.056,0.069,0.653,0.440,0.500,0.000,0.750,0.600,0.447,0.545,0.810,0.028,2,0.085,0.750,0,0
Chimezie Metu\metuch01,C,23,SAC,36,488,0.508,11.0,0.793,0.318,0.212,0.151,0.112,0.207,0.549,0.789,0.368,0.333,0.500,0.351,0.731,0.923,0.190,29,0.081,0.667,0,0
Khris Middleton\middlkh01,SF,29,MIL,68,2269,0.476,15.7,0.660,0.150,0.146,0.196,0.168,0.340,0.508,0.652,0.490,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0.439,0,0
Darius Miller\milleda01,SF,30,OKC,18,197,0.458,25.0,0.125,0.000,0.021,0.042,0.063,0.875,0.833,,0.000,1.000,1.000,0.405,0.600,0.765,0.000,0,0.167,0.429,1,0
Patty Mills\millspa02,PG,32,SAS,68,1685,0.412,20.7,0.298,0.111,0.057,0.028,0.101,0.702,0.500,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0.000,0,0.147,0.460,0,0
Paul Millsap\millspa01,PF,35,DEN,56,1162,0.476,12.5,0.643,0.244,0.309,0.080,0.010,0.357,0.550,0.694,0.500,0.375,0.000,0.343,0.613,0.980,0.040,13,0.196,0.464,0,0
