Player,Pos,Age,Tm,G,MP,FG%,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves
Josh Green\greenjo02,SG,20,DAL,39,445,0.452,10.2,0.731,0.419,0.172,0.054,0.086,0.269,0.559,0.667,0.375,0.600,0.375,0.160,0.658,1.000,0.118,9,0.760,0.211,0,0
Blake Griffin\griffbl01,PF,31,TOT,46,1186,0.423,15.1,0.501,0.265,0.175,0.029,0.032,0.499,0.505,0.633,0.431,0.167,0.154,0.341,0.500,0.757,0.046,18,0.180,0.270,1,0
Blake Griffin\griffbl01,PF,31,DET,20,626,0.365,17.3,0.441,0.144,0.207,0.045,0.045,0.559,0.429,0.656,0.391,0.200,0.100,0.315,0.286,0.615,0.000,0,0.169,0.238,0,0
Blake Griffin\griffbl01,PF,31,BRK,26,560,0.492,12.5,0.571,0.407,0.138,0.011,0.016,0.429,0.574,0.623,0.500,0.000,0.333,0.383,0.645,0.935,0.101,18,0.198,0.313,1,0
Kyle Guy\guyky01,PG,23,SAC,31,235,0.330,16.2,0.477,0.159,0.193,0.068,0.057,0.523,0.381,0.500,0.176,0.500,0.600,0.283,0.563,0.923,0.011,0,0.370,0.294,0,0
Rui Hachimura\hachiru01,PF,22,WAS,57,1797,0.478,12.3,0.789,0.221,0.238,0.154,0.176,0.211,0.519,0.748,0.442,0.430,0.412,0.328,0.740,1.000,0.100,58,0.307,0.286,0,0
Ashton Hagans\haganas01,PG,21,MIN,2,4,,,,,,,,,,,,,,,,,,0,,,0,0
Tyrese Haliburton\halibty01,PG,20,SAC,58,1746,0.472,17.1,0.522,0.139,0.170,0.126,0.087,0.478,0.529,0.674,0.514,0.436,0.463,0.409,0.322,0.785,0.029,17,0.270,0.438,6,0
Donta Hall\halldo01,PF,23,ORL,13,179,0.714,3.0,1.000,0.686,0.229,0.057,0.029,0.000,0.714,0.833,0.375,1.000,0.000,,0.720,,0.457,14,,,0,0
Josh Hall\halljo01,SF,20,OKC,21,336,0.303,13.9,0.626,0.152,0.333,0.111,0.030,0.374,0.419,0.600,0.333,0.455,0.333,0.108,0.462,1.000,0.010,1,0.135,0.000,1,0
R.J. Hampton\hamptrj01,SG-PG,19,TOT,51,888,0.435,12.3,0.722,0.246,0.272,0.118,0.086,0.278,0.482,0.662,0.376,0.378,0.444,0.310,0.358,0.926,0.045,11,0.253,0.500,1,0
R.J. Hampton\hamptrj01,PG,19,DEN,25,233,0.417,12.3,0.700,0.250,0.283,0.150,0.017,0.300,0.476,0.533,0.353,0.556,1.000,0.278,0.350,1.000,0.050,3,0.333,0.500,1,0
R.J. Hampton\hamptrj01,SG,19,ORL,26,655,0.439,12.3,0.727,0.245,0.269,0.111,0.103,0.273,0.484,0.694,0.382,0.321,0.423,0.319,0.360,0.909,0.043,8,0.232,0.500,0,0
Tim Hardaway Jr.\hardati02,SG,28,DAL,70,1985,0.447,18.5,0.419,0.158,0.099,0.075,0.088,0.581,0.524,0.715,0.400,0.426,0.400,0.391,0.545,0.841,0.036,28,0.185,0.388,3,0
James Harden\hardeja01,PG-SG,31,TOT,44,1609,0.466,14.5,0.545,0.238,0.257,0.040,0.010,0.455,0.553,0.674,0.455,0.448,0.571,0.362,0.167,0.248,0.007,4,0.045,0.333,2,0
James Harden\hardeja01,SG,31,HOU,8,290,0.444,15.7,0.467,0.311,0.133,0.022,0.000,0.533,0.556,0.690,0.278,0.333,,0.347,0.200,0.280,0.007,1,0.056,0.250,1,0
James Harden\hardeja01,PG,31,BRK,36,1319,0.471,14.2,0.563,0.222,0.285,0.043,0.012,0.437,0.552,0.669,0.474,0.462,0.571,0.366,0.161,0.240,0.007,3,0.042,0.364,1,0
Maurice Harkless\harklma01,PF-SF,27,TOT,37,772,0.418,14.8,0.491,0.321,0.109,0.012,0.048,0.509,0.568,0.660,0.333,0.500,0.500,0.274,0.717,0.913,0.139,18,0.429,0.333,0,0
Maurice Harkless\harklma01,SF,27,MIA,11,124,0.385,21.0,0.154,0.154,0.000,0.000,0.000,0.846,0.000,0.000,,,,0.455,,1.000,0.077,0,0.545,0.500,0,0
Maurice Harkless\harklma01,PF,27,SAC,26,648,0.421,14.3,0.520,0.336,0.118,0.013,0.053,0.480,0.582,0.686,0.333,0.500,0.500,0.247,0.717,0.889,0.145,18,0.411,0.300,0,0
Jared Harper\harpeja01,PG,23,NYK,8,16,0.000,12.5,0.750,0.000,0.500,0.250,0.000,0.250,0.000,,0.000,0.000,,0.000,,,0.000,0,0.000,,0,0
Montrezl Harrell\harremo01,C,27,LAL,69,1580,0.622,4.7,0.983,0.577,0.259,0.114,0.033,0.017,0.632,0.750,0.506,0.435,0.250,0.000,0.605,,0.214,118,0.100,0.000,1,0
Gary Harris\harriga01,SG,26,TOT,39,1080,0.400,14.3,0.591,0.235,0.191,0.067,0.099,0.409,0.441,0.605,0.318,0.391,0.324,0.340,0.633,0.854,0.032,10,0.333,0.426,0,0
Gary Harris\harriga01,SG,26,DEN,19,581,0.442,14.4,0.519,0.256,0.186,0.026,0.051,0.481,0.556,0.750,0.379,0.500,0.250,0.320,0.733,1.000,0.051,8,0.453,0.471,0,0
Gary Harris\harriga01,SG,26,ORL,20,499,0.365,14.3,0.651,0.217,0.196,0.101,0.138,0.349,0.366,0.463,0.270,0.368,0.346,0.364,0.533,0.708,0.016,2,0.197,0.308,0,0
Jalen Harris\harrija01,SG,22,TOR,13,172,0.500,15.8,0.500,0.236,0.194,0.000,0.069,0.500,0.528,0.706,0.357,,0.400,0.472,0.263,0.882,0.028,2,0.306,0.636,1,0
Joe Harris\harrijo01,SF,29,BRK,69,2141,0.505,18.5,0.372,0.171,0.076,0.071,0.054,0.628,0.555,0.661,0.426,0.540,0.421,0.475,0.774,1.000,0.003,2,0.209,0.505,0,0
Tobias Harris\harrito02,PF,28,PHI,62,2014,0.512,11.7,0.775,0.220,0.313,0.144,0.098,0.225,0.546,0.709,0.474,0.511,0.462,0.394,0.358,0.817,0.043,35,0.202,0.452,0,0
Shaquille Harrison\harrish01,SG,27,TOT,34,333,0.333,9.3,0.795,0.385,0.295,0.051,0.064,0.205,0.371,0.567,0.087,0.250,0.600,0.188,0.304,1.000,0.026,2,0.563,0.222,0,0
Shaquille Harrison\harrish01,SG,27,UTA,17,56,0.300,7.5,0.900,0.400,0.350,0.100,0.050,0.100,0.333,0.500,0.000,0.500,1.000,0.000,0.167,,0.000,0,0.500,0.000,0,0
Shaquille Harrison\harrish01,SG,27,DEN,17,277,0.345,9.9,0.759,0.379,0.276,0.034,0.069,0.241,0.386,0.591,0.125,0.000,0.500,0.214,0.353,1.000,0.034,2,0.571,0.250,0,0
Josh Hart\hartjo01,SF,25,NOP,47,1349,0.439,16.1,0.439,0.302,0.061,0.026,0.049,0.561,0.583,0.654,0.381,0.556,0.412,0.326,0.591,0.984,0.035,12,0.342,0.303,1,1
Isaiah Hartenstein\harteis01,C,22,TOT,46,559,0.550,4.4,0.965,0.538,0.380,0.035,0.012,0.035,0.558,0.630,0.508,0.167,0.000,0.333,0.783,1.000,0.181,28,0.000,,0,0
Isaiah Hartenstein\harteis01,C,22,DEN,30,272,0.513,3.1,1.000,0.588,0.388,0.013,0.013,0.000,0.513,0.532,0.516,0.000,0.000,,0.805,,0.163,12,,,0,0
Isaiah Hartenstein\harteis01,C,22,CLE,16,287,0.582,5.7,0.934,0.495,0.374,0.055,0.011,0.066,0.600,0.733,0.500,0.200,0.000,0.333,0.765,1.000,0.198,16,0.000,,0,0
Udonis Haslem\hasleud01,C,40,MIA,1,3,1.000,8.6,1.000,0.500,0.000,0.500,0.000,0.000,1.000,1.000,,1.000,,,1.000,,0.000,0,,,0,0
Jaxson Hayes\hayesja02,C,20,NOP,60,964,0.625,4.5,0.950,0.646,0.232,0.050,0.021,0.050,0.635,0.724,0.492,0.214,0.500,0.429,0.763,1.000,0.268,71,0.357,0.400,1,1
Killian Hayes\hayeski01,PG,19,DET,26,670,0.353,14.3,0.642,0.090,0.353,0.144,0.055,0.358,0.395,0.444,0.408,0.414,0.182,0.278,0.235,0.850,0.005,1,0.167,0.167,0,0
Gordon Hayward\haywago01,SF,30,CHO,44,1496,0.473,13.7,0.688,0.213,0.198,0.161,0.117,0.312,0.499,0.671,0.392,0.453,0.429,0.415,0.606,0.871,0.033,21,0.176,0.639,0,0
Juan Hernangómez\hernaju01,PF,25,MIN,52,900,0.435,15.2,0.438,0.334,0.097,0.007,0.000,0.562,0.573,0.690,0.207,0.000,,0.327,0.747,0.982,0.047,12,0.226,0.447,0,0
Willy Hernangómez\hernawi01,C,26,NOP,47,846,0.563,4.1,0.963,0.642,0.246,0.063,0.011,0.037,0.581,0.634,0.500,0.412,0.333,0.100,0.667,1.000,0.123,27,0.300,0.333,0,0
Tyler Herro\herroty01,SG,21,MIA,54,1635,0.439,16.5,0.575,0.163,0.160,0.109,0.143,0.425,0.498,0.667,0.455,0.408,0.420,0.360,0.460,0.729,0.011,7,0.138,0.463,4,0
Buddy Hield\hieldbu01,SG,28,SAC,71,2433,0.406,21.2,0.273,0.087,0.060,0.064,0.063,0.727,0.446,0.640,0.267,0.444,0.355,0.391,0.331,0.812,0.009,8,0.136,0.469,1,0
George Hill\hillge01,PG,34,TOT,30,672,0.482,14.4,0.594,0.259,0.147,0.112,0.076,0.406,0.547,0.647,0.483,0.455,0.467,0.388,0.453,0.806,0.010,2,0.288,0.435,0,0
George Hill\hillge01,PG,34,OKC,14,369,0.508,15.3,0.525,0.250,0.133,0.092,0.050,0.475,0.619,0.700,0.625,0.364,0.667,0.386,0.462,0.864,0.000,0,0.263,0.400,0,0
George Hill\hillge01,PG,34,PHI,16,303,0.442,13.1,0.701,0.273,0.169,0.143,0.117,0.299,0.463,0.571,0.308,0.545,0.333,0.391,0.440,0.667,0.026,2,0.348,0.500,0,0
Solomon Hill\hillso01,PF,29,ATL,71,1513,0.359,19.0,0.289,0.164,0.081,0.017,0.027,0.711,0.453,0.571,0.333,0.200,0.250,0.321,0.590,1.000,0.027,6,0.392,0.301,1,0
Nate Hinton\hintona01,SG,21,DAL,21,93,0.357,17.6,0.548,0.143,0.119,0.071,0.214,0.452,0.478,0.500,0.200,0.667,0.556,0.211,0.182,0.750,0.024,1,0.158,0.667,0,0
Jaylen Hoard\hoardja01,SF,21,OKC,19,320,0.500,6.0,0.875,0.602,0.227,0.034,0.011,0.125,0.571,0.698,0.250,0.333,1.000,0.000,0.636,,0.091,6,0.545,0.000,0,0
Aaron Holiday\holidaa01,PG,24,IND,66,1176,0.390,14.5,0.583,0.239,0.218,0.076,0.050,0.417,0.406,0.481,0.316,0.333,0.545,0.368,0.456,0.925,0.000,0,0.170,0.581,1,0
Jrue Holiday\holidjr01,PG,30,MIL,59,1907,0.503,13.1,0.656,0.279,0.199,0.108,0.069,0.344,0.561,0.704,0.433,0.528,0.404,0.392,0.330,0.541,0.010,6,0.177,0.360,2,0
Justin Holiday\holidju01,SG,31,IND,72,2183,0.413,19.9,0.275,0.165,0.034,0.027,0.050,0.725,0.494,0.612,0.190,0.118,0.516,0.382,0.671,0.971,0.034,18,0.371,0.435,0,0
Rondae Hollis-Jefferson\holliro01,PF,26,POR,11,107,0.500,4.6,0.944,0.556,0.333,0.056,0.000,0.056,0.529,0.500,0.500,1.000,,0.000,0.444,,0.056,1,1.000,0.000,0,0
Richaun Holmes\holmeri01,C,27,SAC,61,1782,0.637,6.9,0.981,0.405,0.283,0.257,0.035,0.019,0.645,0.747,0.552,0.622,0.400,0.182,0.816,1.000,0.165,91,0.182,0.000,1,0
Rodney Hood\hoodro01,SF,28,TOT,55,942,0.362,17.0,0.565,0.092,0.162,0.192,0.119,0.435,0.408,0.583,0.286,0.420,0.419,0.301,0.300,0.794,0.012,2,0.363,0.244,1,0
Rodney Hood\hoodro01,SF,28,POR,38,726,0.363,16.7,0.582,0.095,0.164,0.204,0.119,0.418,0.410,0.526,0.273,0.439,0.458,0.298,0.313,0.760,0.015,2,0.321,0.222,0,0
Rodney Hood\hoodro01,SF,28,TOR,17,216,0.356,17.9,0.508,0.085,0.153,0.153,0.119,0.492,0.400,0.800,0.333,0.333,0.286,0.310,0.250,0.889,0.000,0,0.483,0.286,1,0
Al Horford\horfoal01,C,34,OKC,28,782,0.450,15.2,0.578,0.169,0.225,0.100,0.083,0.422,0.510,0.672,0.444,0.444,0.433,0.368,0.566,0.929,0.031,9,0.118,0.222,0,0
Talen Horton-Tucker\hortota01,SG,20,LAL,65,1304,0.458,10.3,0.732,0.413,0.211,0.072,0.037,0.268,0.522,0.639,0.359,0.486,0.222,0.282,0.348,0.730,0.049,15,0.214,0.179,1,0
Danuel House\houseda01,SF,27,HOU,36,932,0.404,17.0,0.426,0.224,0.103,0.037,0.063,0.574,0.483,0.557,0.464,0.300,0.353,0.346,0.643,0.815,0.074,16,0.353,0.291,1,1
Dwight Howard\howardw01,C,35,PHI,69,1196,0.587,4.4,0.934,0.670,0.208,0.023,0.033,0.066,0.611,0.665,0.476,0.286,0.600,0.250,0.590,0.800,0.317,85,0.150,0.333,1,0
Markus Howard\howarma02,SG,21,DEN,37,205,0.377,19.5,0.387,0.123,0.085,0.094,0.085,0.613,0.537,0.615,0.444,0.600,0.444,0.277,0.409,0.778,0.000,0,0.092,0.500,0,0
Kevin Huerter\huertke01,SG,22,ATL,69,2126,0.432,17.4,0.472,0.120,0.167,0.141,0.044,0.528,0.510,0.625,0.418,0.563,0.375,0.363,0.409,0.879,0.012,9,0.199,0.403,1,0
Elijah Hughes\hugheel01,SF,22,UTA,18,64,0.333,22.0,0.233,0.033,0.067,0.067,0.067,0.767,0.286,0.000,0.000,0.500,0.500,0.348,1.000,0.875,0.000,0,0.261,0.833,0,0
De'Andre Hunter\huntede01,SF,23,ATL,23,678,0.484,14.8,0.617,0.226,0.129,0.153,0.109,0.383,0.582,0.661,0.563,0.474,0.593,0.326,0.629,0.903,0.044,10,0.326,0.290,1,0
Chandler Hutchison\hutchch01,SF,24,TOT,25,346,0.379,9.4,0.786,0.252,0.437,0.068,0.029,0.214,0.383,0.346,0.422,0.286,0.333,0.364,0.871,1.000,0.058,4,0.818,0.389,1,0
Chandler Hutchison\hutchch01,SF,24,CHI,7,64,0.278,7.8,0.833,0.500,0.278,0.056,0.000,0.167,0.267,0.222,0.400,0.000,,0.333,1.000,1.000,0.111,2,0.333,1.000,1,0
Chandler Hutchison\hutchch01,SF,24,WAS,18,282,0.400,9.8,0.776,0.200,0.471,0.071,0.035,0.224,0.409,0.412,0.425,0.333,0.333,0.368,0.852,1.000,0.047,2,0.895,0.353,0,0
Serge Ibaka\ibakase01,C,31,LAC,41,955,0.510,12.9,0.685,0.244,0.268,0.085,0.088,0.315,0.588,0.753,0.469,0.484,0.594,0.339,0.673,1.000,0.082,25,0.043,0.200,0,0
Andre Iguodala\iguodan01,SF,37,MIA,63,1339,0.383,20.3,0.266,0.149,0.048,0.032,0.036,0.734,0.530,0.649,0.500,0.250,0.333,0.330,0.800,0.933,0.077,17,0.478,0.391,5,0
Ersan İlyasova\ilyaser01,PF,33,UTA,17,148,0.389,21.6,0.241,0.093,0.019,0.056,0.074,0.759,0.231,0.400,0.000,0.000,0.250,0.439,0.667,1.000,0.019,0,0.220,0.222,0,0
